"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"3872","Memory Compression",,,"1160.81","2.96","1275","2.96",,"True"
"19284","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","474.43","570.37","3539072.54","570.37","1577.42","True"
"1848","vmmemWSL",,,"415.68","1306.46","8191.94","1306.46",,"True"
"19124","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:00","410.28","548.8","3524447.24","548.8","434","True"
"10848","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:44","381.52","377.32","3694811.16","377.32","394.19","True"
"18688","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","294.46","331.63","3540779.27","331.63","439.78","True"
"6976","explorer","C:\WINDOWS\Explorer.EXE","01-06-2026 10:48:58","292.11","365.16","2102982.78","365.16","298.81","True"
"3556","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:37","263.2","144.99","2299398.33","144.99","213.23","True"
"5964","endpointprotection",,,"216.83","393.06","2103781.37","393.06",,"True"
"18480","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","208.28","225.96","2135208.13","225.96","1103.95","True"
"20404","codex","c:\Users\Nrusingha\.vscode\extensions\openai.chatgpt-26.527.31454-win32-x64\bin\windows-x86_64\codex.exe","01-06-2026 11:02:04","196.38","175.69","5546.18","175.69","1239.45","True"
"12608","StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","01-06-2026 10:49:03","190.67","116.01","2137653.9","116.01","9.91","True"
"4264","Taskmgr",,"01-06-2026 11:02:52","179.85","129.46","2101879.09","129.46","1384.33","True"
"6704","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","157.18","130.57","3524772.88","130.57","188.91","True"
"12088","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:43","153.16","150.48","5756.98","150.48","182.08","True"
"4976","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:39","149.77","304.73","2250568.9","304.73","261.42","True"
"1824","dwm",,,"144.11","250.57","2102196.36","250.57",,"True"
"19272","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","133.77","110.37","3524367.14","110.37","25.8","True"
"11160","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 12:25:25","133.21","112.52","3694763.27","112.52","30.56","True"
"13376","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:44","131.36","81.22","3539039.96","81.22","688.19","True"
"1528","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:43","130.04","134.75","3539382.84","134.75","68.41","True"
"12600","SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","01-06-2026 10:49:03","124.5","78.58","2151040.63","78.58","4.81","True"
"4116","SysInfoCap",,,"117.84","204.83","2101698.25","204.83",,"True"
"14876","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 12:24:25","116.87","42.41","3522553.14","42.41","0.75","True"
"13736","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:05","113.21","45.04","2299330.04","45.04","7.52","True"
"17184","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 12:24:06","109.54","29.51","3522552.14","29.51","0.81","True"
"19464","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","108.88","78.16","3524387.76","78.16","30.45","True"
"19292","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","107.96","124.56","3529426.33","124.56","6.59","True"
"19828","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:04","98.35","60.7","3522554.65","60.7","1.66","True"
"4764","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:41:59","94.28","55.53","3694804.35","55.53","10.56","True"
"10124","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26032.83.0_x64__cw5n1h2txyewy\CrossDeviceService.exe","01-06-2026 10:49:01","91.95","23.26","2134206.11","23.26","10.25","True"
"63080","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 14:27:44","84.61","68.59","2101926.5","68.59","0.8","True"
"38644","ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","01-06-2026 12:31:38","84.13","54.99","2101764.35","54.99","1.09","True"
"14388","LockApp","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","01-06-2026 13:10:33","84.03","59.3","2101749.02","59.3","1.44","True"
"15960","TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","01-06-2026 10:49:13","83.72","58.21","2101820.86","58.21","7.88","True"
"15136","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:44","79.41","114.34","2151354.77","114.34","2.69","True"
"12704","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","74.76","68.5","3698719.38","68.5","2.39","True"
"12796","Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","01-06-2026 10:49:03","71.64","14.01","2150735.06","14.01","10.36","True"
"10692","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:05:21","66.28","63.08","2101930.61","63.08","5.03","True"
"4108","TouchpointAnalyticsClientService",,,"64.2","56.16","4792.2","56.16",,"True"
"14856","TabTip",,"01-06-2026 10:49:08","63.11","51.33","2101700.55","51.33","4.31","True"
"140","Secure System",,,"61.85","0.17","2.64","0.17",,"True"
"7144","mysqld",,,"60.77","555.02","4823.36","555.02",,"True"
"4888","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:42","60.75","75.66","5535.14","75.66","9.3","True"
"7312","CrossDeviceResume","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe","01-06-2026 10:48:59","58.56","47.64","2101705.55","47.64","0.89","True"
"3500","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:39","56.39","26.61","2249466.54","26.61","38.64","True"
"19904","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:02:02","55.01","54.46","2101900.38","54.46","4.73","True"
"7772","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","54.89","110.16","2249985.98","110.16","2.8","True"
"5912","svchost",,,"52.6","32.86","2101512.39","32.86",,"True"
"12828","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:49:03","52.54","8.65","2101469.43","8.65","2.92","True"
"14524","ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","01-06-2026 10:50:05","52.11","68.39","2101773.75","68.39","1.06","True"
"5920","svchost",,,"52.09","43.46","2101686.24","43.46",,"True"
"18504","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","51.59","15.43","2134502.14","15.43","3.17","True"
"13968","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:44","51.56","14.14","2150881.95","14.14","1.77","True"
"6164","ShellHost","C:\Windows\System32\ShellHost.exe","01-06-2026 13:12:04","51.06","46.05","2101652.91","46.05","0.19","True"
"6316","mongod",,,"50.96","164.68","4464.67","164.68",,"True"
"8064","HPSystemEventUtilityBackground","C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.24.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityBackground.exe","01-06-2026 10:49:43","50.73","36.55","4810.52","36.55","10.56","True"
"5844","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 13:10:34","50.16","11.05","2101479.99","11.05","2.41","True"
"10360","sihost","C:\WINDOWS\system32\sihost.exe","01-06-2026 10:48:56","49.65","8.21","2101473.55","8.21","13.47","True"
"10536","HPMediaNetwork","C:\Program Files\HP\HP Media Network\HPMediaNetwork.exe","01-06-2026 10:49:44","49.61","43.78","4792.81","43.78","0.55","True"
